"Microservice","Test","Autoscaling","PKG_Energy","Response_Time","Scenario"
"carts",1,"Carbon_Aware_KEDA",14.53,761,"Read_Intensive"
"front-end",1,"Carbon_Aware_KEDA",9.59,713,"Read_Intensive"
"user",1,"Carbon_Aware_KEDA",3.17,769,"Read_Intensive"
"carts-db",1,"Carbon_Aware_KEDA",5.34,NA,"Read_Intensive"
"catalogue",1,"Carbon_Aware_KEDA",3.26,694,"Read_Intensive"
"catalogue-db",1,"Carbon_Aware_KEDA",3.21,NA,"Read_Intensive"
"orders",1,"Carbon_Aware_KEDA",15.02,NA,"Read_Intensive"
"orders-db",1,"Carbon_Aware_KEDA",4.98,NA,"Read_Intensive"
"payment",1,"Carbon_Aware_KEDA",3.26,NA,"Read_Intensive"
"queue-master",1,"Carbon_Aware_KEDA",14.18,NA,"Read_Intensive"
"rabbitmq",1,"Carbon_Aware_KEDA",6.48,NA,"Read_Intensive"
"session-db",1,"Carbon_Aware_KEDA",3.17,NA,"Read_Intensive"
"shipping",1,"Carbon_Aware_KEDA",14.74,NA,"Read_Intensive"
"user-db",1,"Carbon_Aware_KEDA",3.17,NA,"Read_Intensive"
"carts",2,"Carbon_Aware_KEDA",14.71,1090,"Read_Intensive"
"front-end",2,"Carbon_Aware_KEDA",6.7,929,"Read_Intensive"
"user",2,"Carbon_Aware_KEDA",3.17,1173,"Read_Intensive"
"carts-db",2,"Carbon_Aware_KEDA",6.15,NA,"Read_Intensive"
"catalogue",2,"Carbon_Aware_KEDA",3.18,979,"Read_Intensive"
"catalogue-db",2,"Carbon_Aware_KEDA",3.12,NA,"Read_Intensive"
"orders",2,"Carbon_Aware_KEDA",29.94,NA,"Read_Intensive"
"orders-db",2,"Carbon_Aware_KEDA",3.17,NA,"Read_Intensive"
"payment",2,"Carbon_Aware_KEDA",3.16,NA,"Read_Intensive"
"queue-master",2,"Carbon_Aware_KEDA",13.97,NA,"Read_Intensive"
"rabbitmq",2,"Carbon_Aware_KEDA",7.06,NA,"Read_Intensive"
"session-db",2,"Carbon_Aware_KEDA",3.16,NA,"Read_Intensive"
"shipping",2,"Carbon_Aware_KEDA",13.57,NA,"Read_Intensive"
"user-db",2,"Carbon_Aware_KEDA",3.17,NA,"Read_Intensive"
"carts",3,"Carbon_Aware_KEDA",13.25,928,"Read_Intensive"
"front-end",3,"Carbon_Aware_KEDA",8.61,804,"Read_Intensive"
"user",3,"Carbon_Aware_KEDA",3.18,944,"Read_Intensive"
"carts-db",3,"Carbon_Aware_KEDA",3.14,NA,"Read_Intensive"
"catalogue",3,"Carbon_Aware_KEDA",3.19,843,"Read_Intensive"
"catalogue-db",3,"Carbon_Aware_KEDA",3.11,NA,"Read_Intensive"
"orders",3,"Carbon_Aware_KEDA",27.11,NA,"Read_Intensive"
"orders-db",3,"Carbon_Aware_KEDA",6.29,NA,"Read_Intensive"
"payment",3,"Carbon_Aware_KEDA",3.12,NA,"Read_Intensive"
"queue-master",3,"Carbon_Aware_KEDA",14.59,NA,"Read_Intensive"
"rabbitmq",3,"Carbon_Aware_KEDA",10.13,NA,"Read_Intensive"
"session-db",3,"Carbon_Aware_KEDA",3.17,NA,"Read_Intensive"
"shipping",3,"Carbon_Aware_KEDA",12.97,NA,"Read_Intensive"
"user-db",3,"Carbon_Aware_KEDA",3.13,NA,"Read_Intensive"
